"ensembl_gene_id","entrezgene_id","description","mgi_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_BirA","baseMean_BirA_Sox2Cre","Br92","Br93","Br94","Br95"
"ENSMUSG00000026535",26388,"interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083]","Ifi202b",30.2624573436925,3.82953744074414,0.898078536073439,4.2641453803,2.00668764126889e-05,0.0140741774112632,100.284445308343,68.2842850267978,106.543020494201,94.025870122485,71.5178872555109,65.0506827980848
"ENSMUSG00000047676",NA,"ribosomal protein SA, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3704228]","Rpsa-ps10",3665.34703926453,2.43683629537825,0.181269666162875,13.4431554212093,3.37722579622411e-41,3.90829455268035e-37,6.85315901960721,8.05022432344987,10.4640466556805,3.24227138353397,5.25866818055227,10.8417804663475
"ENSMUSG00000082908",NA,"predicted gene 13736 [Source:MGI Symbol;Acc:MGI:3650137]","Gm13736",252.635950079024,2.08320108941353,0.295437015847724,7.05125281419464,1.77313994298323e-12,6.83988733005783e-09,2417.66198401089,2474.77404599151,2612.20655604532,2223.11741197646,2732.40398661496,2217.14410536806
"ENSMUSG00000078763",20555,"schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]","Slfn1",100.649297197869,-2.0397841016243,0.506134724048318,-4.03012084472112,5.57481850147633e-05,0.0314705302967487,46.9957445387791,34.2372236617496,39.9536326853254,54.0378563922328,17.8794718138777,50.5949755096215
"ENSMUSG00000038580",20287,"secretin [Source:MGI Symbol;Acc:MGI:99466]","Sct",104.335392444882,-2.22448068471131,0.569626244845661,-3.90515834696843,9.41637068789162e-05,0.0498945896242048,920.026517834421,839.626432070494,972.205062009584,867.847973659258,824.559170710596,854.693693430392
"ENSMUSG00000024871",60425,"double C2, gamma [Source:MGI Symbol;Acc:MGI:1926250]","Doc2g",336.991681192744,-2.2689190010323,0.307747819209218,-7.3726566344563,1.67260892644732e-13,7.74250672052464e-10,96.9523422154626,102.129923679034,76.1021574958578,117.802526935067,103.069896338824,101.189951019243
"ENSMUSG00000021337",214189,"secretagogin, EF-hand calcium binding protein [Source:MGI Symbol;Acc:MGI:2384873]","Scgn",111.251912027236,-2.33247853204824,0.449172328086721,-5.19283666022701,2.07113883587702e-07,0.000281979460919845,1079.26240986984,866.010578766515,1141.53236243787,1016.99245730182,795.110628899503,936.910528633528
"ENSMUSG00000035186",24108,"ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410]","Ubd",90.6894627522369,-2.71535943297871,0.667128960024915,-4.07021669824871,4.69694276546665e-05,0.0271776850766814,1.55639561219377,18.7969236414466,0.951276968698223,2.16151425568931,23.13813999443,14.4557072884633
"ENSMUSG00000030149",27007,"killer cell lectin-like receptor subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:1196250]","Klrk1",66.4214400949063,-2.8174492735715,0.638002658475521,-4.41604629094128,1.00522566335693e-05,0.00775531599279874,5.74994396442595,1.05173363611045,2.85383090609467,8.64605702275724,2.10346727222091,0
"ENSMUSG00000043263",236312,"interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]","Ifi209",98.241513477479,-2.93679519925306,0.578323351356319,-5.07811969266935,3.81188536837544e-07,0.000490144926950275,3135.09035374777,2789.4064917623,3004.13266714899,3266.04804034655,2600.93728210115,2977.87570142344
"ENSMUSG00000082145",NA,"predicted gene 12312 [Source:MGI Symbol;Acc:MGI:3649321]","Gm12312",43.4323840177944,-3.00646723382979,0.676267945825483,-4.44567460632776,8.76164832602478e-06,0.00699270174158081,46.9111802343058,72.0464637794952,57.0766181218934,36.7457423467183,73.6213545277318,70.4715730312586
"ENSMUSG00000054203",226695,"interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]","Ifi205",52.9127481475675,-3.69157111948007,0.743393952694755,-4.96583420688098,6.84063773854374e-07,0.000753936002183785,53.5476610878568,49.0426055936067,62.7842799340827,44.3110422416309,42.0693454444181,56.0158657427953
"ENSMUSG00000066363",238393,"serine (or cysteine) peptidase inhibitor, clade A, member 3F [Source:MGI Symbol;Acc:MGI:2182838]","Serpina3f",45.1917857016753,-3.80838843122411,0.776814073541336,-4.90257393749633,9.45889946669111e-07,0.00099511921889348,596.429732667544,465.54809343485,613.573644810354,579.285820524735,381.779309908095,549.316876961605
"ENSMUSG00000067571",545279,"membrane-spanning 4-domains, subfamily A, member 15 [Source:MGI Symbol;Acc:MGI:3617853]","Ms4a15",102.035665026588,-4.04553129136779,0.514097439755166,-7.86919167170805,3.56939955321073e-15,2.06534381647656e-11,18.3755048757957,21.966094671818,23.7819242174556,12.9690855341359,16.8277381777673,27.1044511658687
"ENSMUSG00000022586",57248,"lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]","Ly6i",121.869268141054,-4.24741049084998,0.632839314915302,-6.7116729171898,1.92405604913301e-11,6.36175389388335e-08,2325.78848164219,2086.19652405212,2334.43368118544,2317.14328209894,2192.8646312903,1979.52841681394
"ENSMUSG00000074006",18378,"olfactory marker protein [Source:MGI Symbol;Acc:MGI:97436]","Omp",296.997394303335,-4.88116535702438,0.423957771433668,-11.5133291236014,1.1302915130079e-30,8.72019902285593e-27,5.01534516178398,0,5.70766181218934,4.32302851137862,0,0
"ENSMUSG00000001023",20199,"S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915]","S100a5",469.656698944473,-6.66368022294378,0.44635428850708,-14.9291278128676,2.13034296752804e-50,4.93067879834365e-46,162.174287245991,149.771120993136,157.911976803905,166.436597688077,118.845900880481,180.696341105791
